Nb	Obj	Type	Label	CX (pix)	CY (pix)	CZ (pix)	CX (unit)	CY (unit)	CZ (unit)	Xmin (pix)	Ymin (pix)	Zmin (pix)	Xmax (pix)	Ymax (pix)	Zmax (pix)	VolBounding (pix)	RatioVolbox	Vol (unit)	Vol (pix)	Surf (unit)	Surf (pix)	SurfCorr (pix)	Comp (pix)	Spher (pix)	CompCorr (pix)	SpherCorr (pix)	Comp (unit)	Spher (unit)	CompDiscrete	Feret (unit)	Ell_MajRad	Ell_Elon	Ell_Flatness	volEllipsoid (unit)	RatioVolEllipsoid	Moment1	Moment2	Moment3	Moment4	Moment5	DCMin (unit)	DCMax (unit)	DCMean (unit)	DCSD (unit)	
0	1	0	obj1-val2357	783.371872465215	154.97747551007674	13.321332750982716	128.47298708429526	25.416305983652588	5.328533100393087	741	127	5	823	185	25	102837.0	0.3116971518033393	344.8497536	32054	514.7067840000916	11890.0	8248.238433333334	0.06913075098974816	0.41041586931069896	0.20707764561106418	0.5916221238789499	0.09863533778819335	0.462038161830897	0.9686713343986268	14.426911354064941	6.553552030374972	1.4470565085668323	1.4964858359865805	376.24891028378187	0.9165468501686839	1349.9890992584383	505302.68734528933	5.183465951310885E7	3.6066908286028125	0.021068298600598424	1.6701216231657148	7.403315304723697	4.331354593729696	1.0355584916487113	
1	2	0	obj2-val2829	673.3866542791562	221.34490108208547	12.264619084052901	110.43541130178163	36.30056377746202	4.9058476336211605	644	191	2	703	246	23	73920.0	0.24753787878787878	196.85720320000004	18298	354.245248000016	8048.0	5463.289233333333	0.07264332542308766	0.4172525042419103	0.2322186202553944	0.6146563133616749	0.09859227667873387	0.46197091496508985	0.9632493029140713	12.6157808303833	5.668926211375714	1.3377904735845518	1.8404251437503834	231.68432104411167	0.8496785726062115	1029.7955114798167	291207.5628827546	1.965454694732101E7	3.6416595261674067	0.01799741179507368	1.4579006234664182	6.880051587341038	3.779103313809745	1.019844385961139	
2	3	0	obj3-val3300	884.4268376068376	150.41179487179488	14.029102564102564	145.04600136752137	24.66753435897436	5.611641025641026	854	126	1	914	174	27	80703.0	0.2899520463923274	251.74656000000004	23400	388.1355200000364	8672.0	5857.863833333333	0.09495684592175273	0.45622152063054017	0.30808196211155225	0.6753912406667875	0.12258273216340564	0.49675632189028607	0.9722244062775595	10.608085632324219	4.912856636825341	1.2285053278834968	1.1617838348153136	283.2770840615513	0.8886937001416598	966.260384185385	297713.99462189537	2.938276320919676E7	3.136094194133734	0.032569426592551735	2.141007171820916	5.62072908611794	3.818269036822113	0.6560507963860571	
3	4	0	obj4-val3772	946.6361124269698	162.0186325596084	14.3799936838781	155.24832243802305	26.571055739775776	5.75199747355124	917	143	3	970	186	26	57024.0	0.22211700336700338	136.26589440000004	12666	299.30787199999486	6322.0	4126.301600000001	0.07180717914256465	0.4156454238458124	0.25825482009238426	0.6368191948512133	0.0783199313282871	0.42784960434414154	0.9579051852637738	10.010682106018066	4.94871026239861	1.488358322581983	1.3839305909053408	165.5904782947338	0.8229089969621378	768.0915975826995	164472.01394362026	1.0040156207266122E7	3.5870218168507315	0.022156513764730237	1.334911336927276	5.173154620641032	3.2829637130163816	0.8537198428948091	
4	5	0	obj5-val4243	997.9597256811508	142.43340891350408	18.662472586700368	163.66539501170874	23.359079061814672	7.464989034680148	965	109	5	1031	175	36	143648.0	0.37456838939630205	578.8664704000001	53806	580.6059200000651	12786.0	8583.8658	0.1566425295552369	0.5390596574000648	0.5176843430300692	0.8029497060042403	0.19362649492610173	0.5785246020692929	0.9865262970934405	12.983881950378418	5.719656531732259	1.1065542337075367	1.0881252437065712	588.266536091847	0.9840207370041881	1524.333749740389	765533.2211455747	1.2671208482748297E8	3.0352613268964035	0.03577485157789829	4.204748699744598	7.197349810695625	5.074308914500806	0.38316303999307266	
5	6	0	obj6-val4715	675.83642668428	184.47962351387054	12.172457067371202	110.83717397622193	30.25465825627477	4.868982826948481	633	150	0	699	220	36	176009.0	0.17203665721639233	325.76435200000003	30280	519.4181760000827	11078.0	7431.487166666667	0.07627461649091526	0.42409229622971184	0.25266024833359396	0.6321871143986285	0.0856461926610507	0.4407947124104848	0.9701504548320979	16.37900733947754	7.191253222429566	1.6694055694816352	1.2573167811801655	444.5636042938044	0.7327733283912913	1524.543073915604	616691.0888336219	7.236649828751218E7	3.768874929942594	0.020422949355601967	1.988088872257993	10.873703171274945	4.69784058926929	1.459570448632406	
6	7	0	obj7-val5186	565.860649370825	92.85692092589716	19.23924188286469	92.80114649681529	15.228535031847134	7.695696753145876	548	75	11	583	108	29	23256.0	0.2767887856897145	69.2518208	6437	166.0191679999932	3450.0	2299.3199	0.11412009026568769	0.485051311344637	0.3854971730517545	0.7277916454394945	0.11853321590615362	0.49122485278311595	0.9624093673800633	7.529552459716797	3.187807595576903	1.0801653662794435	1.4035491503075381	82.86225906517367	0.8357462321360483	433.0218603041624	59423.571237934724	2514104.278221003	3.155447032129508	0.03096376927758729	1.4032752872220555	4.305762918502566	2.5744291864116478	0.5274064008389763	
7	8	0	obj8-val5658	935.5388854101441	121.96455854727614	16.77858484658735	153.42837720726362	20.00218760175329	6.71143393863494	921	103	6	952	143	24	24928.0	0.3203225288831836	85.90582400000001	7985	180.3606399999909	3894.0	2612.565466666667	0.12212775473465359	0.4961409745116919	0.40439024296834514	0.73949212958943	0.1422565546304098	0.5220246902494775	0.9671082787902272	8.444684982299805	3.444599319764279	1.1558123700599578	1.284226591837747	99.7903136769796	0.860863352710529	485.8067846509024	75034.10955790553	3646250.6884265714	3.1453459420440693	0.03180209985351732	1.6902685982850594	4.532089487568388	2.7096565872031095	0.5208641963264523	
8	9	0	obj9-val6129	565.0117353308365	125.47885975863504	16.848813982521847	92.66192459425719	20.578533000416147	6.739525593008739	537	103	8	593	148	31	62928.0	0.3818649885583524	258.524352	24030	351.27225600001975	7736.0	5213.577633333333	0.14106216071286715	0.5205596009575977	0.46084234786485045	0.7724151680789137	0.17439086833049663	0.5586950619777296	0.9803163681260675	10.744111061096191	4.472528551009536	1.0217120676187985	1.3200597150588516	271.9551762778664	0.9506138310669856	932.528481635864	281315.8728904551	2.708098192981396E7	3.0912204140031485	0.03339474197139181	2.6672042850348707	6.422722881766041	3.8645846349580824	0.520760975708622	
9	10	0	obj10-val6601	476.16887624466574	225.26418207681365	21.530924608819344	78.09169570412519	36.94332586059744	8.612369843527738	449	188	10	499	244	35	75582.0	0.23252890899949724	189.07888000000003	17575	373.99609600002333	7988.0	5304.780866666667	0.06853759679613436	0.4092386833874339	0.23401338320125709	0.6162357624854298	0.07729247413688034	0.42597041831024685	0.9612191265630318	13.398935317993164	5.856353350488778	1.5534808062116996	1.454986220282254	239.6071325797151	0.7891204154245918	1026.5763812301186	280986.54127429856	2.102176768859133E7	3.750567773531724	0.019431012364530712	1.6772542794988958	7.635055860307617	3.921707111941752	1.1683134990882542	
10	11	0	obj11-val7072	727.7001215146639	231.2777102696312	20.102532102860522	119.3428199284049	37.92954448421952	8.041012841144209	702	202	6	759	257	36	100688.0	0.30240942316860003	327.58252160000006	30449	427.11110400004753	8944.0	5793.722833333334	0.1465558201581082	0.5272314413185651	0.5391694748190501	0.8139075907322344	0.15576548429430384	0.5380517055807896	0.9825076526415345	13.036664962768555	5.630743323401954	1.332160746686158	1.2108019208988026	348.01616195401334	0.9412853695090363	1148.0740299901909	404523.36427969433	4.434744205044132E7	3.2583383179483767	0.029306158599568727	2.3744376875467523	6.8892766545763	4.342733560594503	0.7388433538553815	
11	12	0	obj12-val7544	567.2449079604276	238.57928267328248	17.85589145149928	93.02816490551012	39.12700235841833	7.142356580599712	533	208	4	606	258	36	124542.0	0.26215252685840923	351.2510016000001	32649	503.2727040000709	10518.0	6998.817033333334	0.10360784527678084	0.469675466577652	0.351656153122784	0.7058396870034535	0.10946553084163817	0.4783650581534714	0.9768719906182942	15.020069122314453	7.382408902694793	1.4154078842180835	1.9994352780447924	420.73855050273653	0.834843874373512	1645.3900143117821	704525.5669669313	6.481781119117489E7	3.8427396053946197	0.014550830761574509	1.1184014341211155	8.463035799391683	4.867230417002193	1.2925709032067139	
12	13	0	obj13-val8015	709.4985542535383	91.41028762745397	20.898036828488813	116.35776289758027	14.991287170902451	8.359214731395525	674	74	9	736	118	41	93555.0	0.21071027737694403	212.08033920000003	19713	384.3307200000258	8024.0	5120.415733333333	0.08507168937992174	0.4398069039404054	0.32737246404200354	0.6892033542207382	0.08960616561359015	0.4474862004189595	0.9679932320200516	13.599756240844727	6.3834739282331245	1.4500812678418074	1.920847759027022	269.7629019940938	0.7861731084307632	1215.4202178263467	382042.6198886346	2.664613343897278E7	3.866705516603518	0.014840715153224951	1.1424370219634858	8.38830931752976	4.110227100884096	1.2220677657343224	
13	14	0	obj14-val8487	874.8381925285214	99.99526508090374	19.501677727238835	143.4734635746775	16.399223473268215	7.800671090895534	836	76	9	916	127	35	113724.0	0.23585171116035314	288.56180480000006	26822	495.0267840000728	10882.0	7302.0329	0.06314057391755051	0.39820182086093514	0.20897933058849047	0.5934276500702003	0.07763257149318162	0.4265942794009499	0.9646058782680537	15.555408477783203	7.531205704192192	1.7112954190210812	1.6890867069219009	361.7263933152263	0.7977350011850891	1540.6626370698652	558145.1027848078	4.7910438404489316E7	4.252731681098751	0.013101091906339925	0.7471073769382215	8.551825233014148	4.322055101247237	1.4381779644198103	
14	15	0	obj15-val8958	913.3507474187086	116.85968562182154	16.60571736785329	149.78952257666822	19.164988441978732	6.642286947141317	890	85	8	935	144	24	46920.0	0.27659846547314576	139.62251520000004	12978	266.06310399998085	5958.0	4114.6197	0.09006714915258876	0.4482522594155755	0.2734505554554376	0.6490720925289478	0.11706021775751926	0.4891815698472123	0.9645295793261708	10.565411567687988	5.009192683926883	1.6970366345070238	1.0416145750098569	175.5101822989934	0.795523731849037	777.7206571161923	169370.10030734717	1.1279098340482665E7	3.5711699964022756	0.02397747682302236	1.1020634961929003	6.665325969226069	3.3165261142255407	0.8918155075820817	
15	16	0	obj16-val9429	920.4227653502716	214.10968424928657	20.66864586210071	150.94933351744453	35.113988216883	8.267458344840284	879	188	11	957	237	36	102700.0	0.21154819863680624	233.73699840000006	21726	425.7230080000461	9468.0	6441.874966666667	0.06289804922870672	0.3976913324797182	0.19969861388781524	0.5845096471845451	0.08008034445790412	0.4310314998950128	0.9618381946784442	14.015554428100586	7.343023977026104	1.8904440666837754	1.5754853708186871	294.5583833582584	0.793516707062165	1395.860569090425	426111.5612127473	3.1769656837642226E7	4.572574193471936	0.011681171655421251	1.5152791194085768	7.665263416396411	4.1976462364216856	1.3517302334223251	
16	17	0	obj17-val9901	657.4521291530183	107.46059897051941	17.792512868507252	107.822149181095	17.623538231165185	7.117005147402901	618	81	6	688	139	38	138237.0	0.15458958166048165	229.90700800000005	21370	424.1459840000407	9064.0	5990.894066666667	0.06935882500426442	0.4108667171534959	0.24020746330322146	0.6216255153743409	0.07834489716410233	0.4278950609617622	0.9640490931276694	17.23002052307129	8.578536845378189	2.7505119041185444	1.0873932838928297	321.4508264958851	0.7152167269445272	1701.841556639772	484277.4966846382	3.783544463196558E7	5.98058902950044	0.007676114939103033	0.7480073176496317	9.390148785144696	4.4719955263930675	1.7579395170701588	
17	18	0	obj18-val10844	710.0305205788386	193.21450855102424	19.67957150911483	116.44500537492954	31.687179402367978	7.871828603645932	690	161	3	746	229	44	165186.0	0.16106086472219194	286.2272320000001	26605	520.3864320000695	10406.0	6813.290433333333	0.0710440048588954	0.4141676698223315	0.253109352810277	0.6325614642870497	0.06575009440202415	0.4036136582231521	0.9672108876809384	17.099071502685547	8.872934873542258	2.4469915760629775	1.1006044491795937	444.01153925925524	0.6446391741924391	1909.7952582630714	702392.3322839615	7.218687851144361E7	5.19270749528852	0.010363294272478717	1.2375579494327584	9.963490307133485	4.887199995783053	1.7681319622267755	
18	19	0	obj19-val11315	751.5814710836609	202.5113419427288	21.730993823694554	123.25936125772039	33.21186007860752	8.692397529477821	716	169	4	777	238	45	182280.0	0.19541364933070002	383.2142080000001	35620	573.2967680000743	11576.0	7412.0782	0.09250488112462305	0.4522603985037364	0.3523872819330724	0.7063285191497828	0.08814488151316013	0.4450403457883457	0.9754832009634524	18.005067825317383	9.262342785681478	2.35224297093247	1.3125189539469893	458.33307023963084	0.836104206488185	2050.429118131673	774791.9184606983	7.691873564392425E7	5.4263079780632655	0.008922732125685125	2.3424402089691525	10.084610777057026	5.396458516668615	1.7890440582783347	
19	20	0	obj20-val11787	616.3789492595539	214.45550907271002	22.229345789595257	101.08614767856685	35.17070348792444	8.891738315838102	588	171	2	651	240	43	188160.0	0.20707376700680272	419.17953920000014	38963	585.3225600000565	12262.0	8194.4792	0.09312648585016539	0.4532711544063976	0.3120276489585534	0.6782623229393816	0.09909842111077266	0.46276010721382	0.9763481822188567	18.91695785522461	9.452482603702805	2.2521265141559113	1.2604413366944374	553.3730997825284	0.7574989448614952	2194.630798218903	953845.9203431265	1.121258726111114E8	5.049457399532972	0.010607704847664698	1.4669494357637947	9.611056892671364	5.492593193754403	1.8298419749613883	
