Nb	Obj	Type	Label	CX (pix)	CY (pix)	CZ (pix)	CX (unit)	CY (unit)	CZ (unit)	Xmin (pix)	Ymin (pix)	Zmin (pix)	Xmax (pix)	Ymax (pix)	Zmax (pix)	VolBounding (pix)	RatioVolbox	Vol (unit)	Vol (pix)	Surf (unit)	Surf (pix)	SurfCorr (pix)	Comp (pix)	Spher (pix)	CompCorr (pix)	SpherCorr (pix)	Comp (unit)	Spher (unit)	CompDiscrete	Feret (unit)	Ell_MajRad	Ell_Elon	Ell_Flatness	volEllipsoid (unit)	RatioVolEllipsoid	Moment1	Moment2	Moment3	Moment4	Moment5	DCMin (unit)	DCMax (unit)	DCMean (unit)	DCSD (unit)	
0	1	0	obj1-val1734	965.736873975022	118.90278793995206	14.874681468399142	158.38084733190362	19.50005722215214	5.949872587359657	934	90	0	997	154	38	162240.0	0.24429857001972385	426.40918400000004	39635	639.227392000071	13256.0	8722.536533333334	0.07627331326630059	0.42408988087783445	0.2677205491575494	0.644506402128572	0.07872983521441518	0.42859471892708506	0.9727896107824128	16.42877769470215	7.22113641582015	1.5210829527705039	1.3146176017290996	518.5611720182386	0.8222929270628125	1630.784388466739	742725.1761339682	9.846224621436971E7	3.5806753387704466	0.02270283554533677	1.3903090771248905	9.73695297003943	4.8097816286713435	1.323531307218576	
1	2	0	obj2-val2427	757.3911063894369	177.55881013810898	17.32675671573835	124.21214144786767	29.119644862649874	6.930702686295341	742	163	9	774	194	31	24288.0	0.271286231884058	70.8870976	6589	179.47635199999166	3628.0	2293.7955666666667	0.10282283013712157	0.4684862480225764	0.40684338728703145	0.7409844380875709	0.0983026131467698	0.46151804900648635	0.9594064740434515	9.287727355957031	3.8061097307865093	1.5763823932911951	1.14414449815255	81.23224859826249	0.8726472407599491	460.465072105178	60452.18431350678	2416165.6116169975	3.5073684274044257	0.024747801266638475	1.5019914670260381	5.606992397559274	2.7310270787618602	0.6426179397745997	
2	3	0	obj3-val2774	778.1988815949429	204.50376853877947	17.197909068806226	127.62461658157065	33.538618040359836	6.879163627522491	763	184	10	794	220	26	20128.0	0.20434220985691573	44.24929920000001	4113	128.7636160000001	2698.0	1715.9511666666667	0.09741906487643477	0.46013117201174203	0.37866487299012885	0.7234663564718057	0.1037255328650779	0.4698532330453096	0.9499626027760716	7.148411750793457	3.301181069466028	1.5093067279513814	1.1792927476435622	56.09446138955685	0.7888354412159119	355.4723963666566	36659.44703523075	1152151.8281646166	3.446877539020633	0.025650277472136947	0.9565760308789419	4.610623913773474	2.270502860359054	0.6051154677455769	
3	4	0	obj4-val3467	931.5254658385093	161.85093167701862	17.788074534161492	152.7701763975155	26.543552795031054	7.115229813664597	916	152	10	946	178	28	15903.0	0.25309689995598317	43.30256000000001	4025	137.89119999999983	2692.0	1682.1264	0.09392019297004602	0.4545552392143518	0.38495349083598845	0.727449339826618	0.08088534915030737	0.43247099506740505	0.9481348548620862	7.365799903869629	3.3567096394615037	1.4444080025809782	1.4364980901779991	52.862182595175526	0.8191595177145036	358.51754755864704	36106.17560459225	1023198.581910189	3.5599126674362798	0.022203870139032977	1.0581282076376475	4.2314254261819215	2.3401778307658154	0.5560750853311458	
4	5	0	obj5-val3814	717.3356047700171	165.37229720875376	20.01677368627965	117.6430391822828	27.12105674223562	8.00670947451186	692	141	11	743	191	32	58344.0	0.26158645276292336	164.19470080000005	15262	341.97542400001186	7304.0	4782.5266	0.06760720445595017	0.4073784481308615	0.24082584303648732	0.6221584869212512	0.07624053877216848	0.4240291287041466	0.9588951455314157	11.628864288330078	5.132880829565428	1.6680063933117877	1.053676790299399	193.2276608310809	0.8497473917232721	824.383517797645	191794.29386125886	1.3671253662251927E7	3.543422334076521	0.024401720081220386	1.0845164146628454	6.265349019711487	3.4981692564569333	0.8504618259957959	
5	6	0	obj6-val4161	924.9481245011971	176.41340782122904	17.926735833998404	151.69149241819633	28.931798882681566	7.170694333599362	910	155	10	940	197	28	25327.0	0.24736447269712164	67.40137600000001	6265	188.5685119999891	3920.0	2527.679566666667	0.07369471150717108	0.41925586999849745	0.2748707143062548	0.6501937996530811	0.07662709772201126	0.42474456542425065	0.9470919397535367	8.334964752197266	3.9715752376339686	1.2187454614015614	2.0350355827921134	86.81183588355239	0.7764076789069503	538.3146439641258	81276.8389434393	2759482.4097162858	3.565378029870032	0.01768964214078132	0.595049058433329	4.891166968699939	2.6842538465874126	0.7625330295922913	
6	7	0	obj7-val4508	823.9946757018394	208.44433688286543	15.870764762826719	135.13512681510167	34.18487124878993	6.348305905130688	815	198	12	835	219	20	4158.0	0.49687349687349686	22.226854400000004	2066	60.75084800000139	1332.0	896.6153666666665	0.20426799840542265	0.5889345156122444	0.6697218597298796	0.8749129098539188	0.24920190001780887	0.6292897398109888	0.9685959837057235	4.128505706787109	1.970511698008831	1.1647648298677518	1.0392138231980874	22.73234445611831	0.977763399763096	174.65705804932105	10018.2190415676	189216.1514292693	3.0449611652402666	0.03551401576995643	1.3600957729227994	2.191005799349001	1.6651096351293992	0.1282845143574506	
7	8	0	obj8-val4854	888.4063090107975	197.58412821381881	21.63547668619571	145.6986346777708	32.40379702706629	8.654190674478285	866	145	9	911	238	43	151340.0	0.2729351129906172	444.38647040000006	41306	626.1900480000716	13462.0	8995.020833333334	0.07909515768555636	0.4292566177991225	0.2651380966096362	0.6424273838684322	0.09096106705076308	0.4497303489266768	0.973854158952386	17.874462127685547	9.401779917159342	1.9530322322805174	1.447048185385409	630.6915547858639	0.704601904096973	2279.7929493351276	1134637.859011722	1.4564774998506504E8	4.58071784804112	0.012291858759349293	1.3599187639881356	9.888332961256907	5.405667501687294	1.845808307041913	
8	9	0	obj9-val5201	924.7727272727273	223.04740152763216	20.227347611202635	151.66272727272727	36.57977385053167	8.090939044481054	901	198	12	949	245	29	42336.0	0.3154289493575208	143.66767360000003	13354	259.49260799997694	5754.0	3846.1575666666663	0.10586820376484345	0.4730664765966822	0.3544817661610167	0.7077251572943443	0.13359663501744956	0.5112093610940084	0.9690308319777886	9.43339729309082	4.464424996011256	1.327242956491892	1.3316939503103098	158.8839015726375	0.9042305241624431	699.4621113022624	146826.44633620704	9243353.030553056	3.3321466081602726	0.02701076950831692	1.6022542410078864	5.061465744657268	3.1946788360190337	0.6671105280046786	
9	10	0	obj10-val5548	933.4886423666138	143.70311674590596	21.95932382461701	153.09213734812468	23.567311146328578	8.783729529846804	920	130	14	945	156	31	12636.0	0.2996201329534663	40.731302400000004	3786	116.81654400000126	2320.0	1440.6969666666666	0.129822401333879	0.5063492544951	0.5421202967331067	0.8153897024635922	0.11770526973319699	0.49007845692524526	0.9594274522921039	6.880605697631836	3.09527648181648	1.4160894007114038	1.3828194447310116	44.79609012346758	0.9092602119456373	313.37305902320065	28217.253832207814	734767.5499541695	3.480234990460611	0.023876188388503406	1.1763010313940663	3.6899688055275934	2.234709695906076	0.47086283483148395	
