Nb	Obj	Type	Label	CX (pix)	CY (pix)	CZ (pix)	CX (unit)	CY (unit)	CZ (unit)	Xmin (pix)	Ymin (pix)	Zmin (pix)	Xmax (pix)	Ymax (pix)	Zmax (pix)	VolBounding (pix)	RatioVolbox	Vol (unit)	Vol (pix)	Surf (unit)	Surf (pix)	SurfCorr (pix)	Comp (pix)	Spher (pix)	CompCorr (pix)	SpherCorr (pix)	Comp (unit)	Spher (unit)	CompDiscrete	Feret (unit)	Ell_MajRad	Ell_Elon	Ell_Flatness	volEllipsoid (unit)	RatioVolEllipsoid	Moment1	Moment2	Moment3	Moment4	Moment5	DCMin (unit)	DCMax (unit)	DCMean (unit)	DCSD (unit)	
0	1	0	obj1-val3378	1183.8669312857887	163.59806090577825	9.473646538261322	194.15417673086935	26.830081988547636	3.789458615304529	1158	145	0	1216	186	25	64428.0	0.23852983175017073	165.33509120000005	15368	300.28399999999226	6554.0	4388.8198	0.0948784903913906	0.45609599946983703	0.31596852911325735	0.6811058485027794	0.11417890532945907	0.4851346253216243	0.9678501898678455	11.420381546020508	5.489261021393082	1.709553989019063	1.1898243430614575	199.2423907095011	0.8298188483446853	887.2106594656839	209150.45640551957	1.4535609160418458E7	3.76352396163722	0.020813877004033542	1.4880928062024938	6.563271472254353	3.4806254327530666	0.9386250780759423	
1	2	0	obj2-val4054	1164.2435621393506	136.59555593833434	15.871501162690553	190.93594419085352	22.401671173886832	6.348600465076221	1145	114	6	1184	160	27	41360.0	0.2807301740812379	124.91578240000001	11611	257.93657599997846	5322.0	3415.6795333333334	0.10115026221300227	0.4659321402219208	0.38261348393906364	0.7259723672209373	0.10283671781447909	0.46850733894972024	0.9662792294844019	8.572728157043457	3.745728103887112	1.068701060006141	1.3131010938638574	146.78669531010686	0.8510020757405733	621.6482617806623	124359.4823855254	7889384.7220486505	3.107495737051239	0.03284043974408921	1.9366166849652586	4.606944914363654	3.1310014527904806	0.5447759163628256	
2	3	0	obj3-val4729	1305.8208112198138	186.39729735490334	16.3135324082955	214.15461304004947	30.56915676620415	6.5254129633182005	1274	151	5	1340	218	31	123012.0	0.3814018144571261	504.75185280000005	46917	542.1026560000879	12238.0	8369.439466666667	0.1358255572899303	0.5140366929274744	0.4246427604383253	0.7516365805417529	0.18086878108289117	0.5655288757773772	0.9838031599379365	11.583463668823242	5.50646246207735	1.0633886169627924	1.1657180539442522	530.5533976859655	0.951368618128731	1428.971939733267	670598.0577978761	1.030689730356245E8	3.0449846682385107	0.035322940234389234	2.839831642313679	6.5822153629377675	4.753602210730117	0.5679091830221392	
3	4	0	obj4-val6081	1117.4102370811504	189.40661867249634	20.60118352116392	183.25527888130867	31.0626854622894	8.240473408465569	1082	159	8	1157	211	37	120840.0	0.21955478318437605	285.4311104	26531	496.0435840000743	10750.0	7288.294533333333	0.0640817288413589	0.40017056249471455	0.20562781835692898	0.5902381671384395	0.07549105199496188	0.42263507144696966	0.9648179332819895	13.866463661193848	6.101883873693835	1.0777265466533035	2.40014988409921	341.3696275666979	0.836135049373224	1391.5394404734627	545729.1431062069	4.2669691725743204E7	3.5482474023131823	0.01583554245716848	1.03970877743454	7.49386791116803	4.278076861931127	1.2286435841135015	
4	5	0	obj5-val6756	1111.5087010095333	104.01796407185628	23.26055470286863	182.28742696556347	17.058946107784433	9.304221881147454	1080	70	12	1144	136	39	121940.0	0.37935870100049207	497.67282560000007	46259	522.6076480000871	11588.0	7834.154733333334	0.15553187022397807	0.5377825847391262	0.5033480825908451	0.795468169633184	0.19625148227308303	0.5811272191091317	0.9857084617969037	12.263894081115723	5.349751029539412	1.0639073111537725	1.1015455692670584	514.3742820151042	0.9675305375889425	1389.4737155471953	638278.0303501571	9.68786863564594E7	3.024758983381251	0.03611413641191717	3.421406489676209	7.03786749445845	4.7511364876501085	0.4655625461169545	
5	6	0	obj6-val7432	1293.0123640561394	97.93009903396319	24.46843672155052	212.05402770520686	16.060536241569963	9.78737468862021	1261	73	11	1328	131	40	120360.0	0.27349617813226984	354.14501120000006	32918	497.0853120000711	10570.0	6928.304766666667	0.10377537068119723	0.4699284722707544	0.36850068958690446	0.7169344259703325	0.11548400531455143	0.48697603784981497	0.9769669539888417	13.491952896118164	6.55114664892118	1.445430504110568	1.3797626626493251	408.54672370914767	0.8668409037398688	1380.3103009505203	541318.9734128949	6.111575943307935E7	3.5196559154354046	0.023239299103836382	2.1818461289934605	7.5493070000261175	4.563089413242526	1.0310674870716559	
6	7	0	obj7-val8107	1132.574569073195	151.71781164126904	21.11861104171871	185.74222932800402	24.881721109168122	8.447444416687485	1103	123	9	1156	195	37	114318.0	0.17508178939449606	215.32937600000002	20015	444.081824000053	9244.0	5972.345966666667	0.05735664658387715	0.3856514759173803	0.21268099793683332	0.5969109737620375	0.059878366315324345	0.3912224079855072	0.9583204020411469	14.884241104125977	6.612972027682696	1.698327995782079	1.328134953359551	316.2228884047119	0.6809417783965555	1254.621043756234	404086.4061106975	3.661477342601997E7	3.895389549443968	0.018540380720748838	1.5401667857986923	8.927345512275858	4.108867183685511	1.3946176531579153	
7	8	0	obj8-val9459	1232.6162155238665	105.66121595081547	24.909444112372984	202.1490593459141	17.32843941593374	9.963777644949195	1204	78	13	1255	142	44	108160.0	0.21654955621301775	251.98324480000002	23422	467.7280000000558	9962.0	6546.5560000000005	0.06275678901238962	0.3973933899274769	0.22113712805491745	0.6047193817835451	0.07018036036312458	0.41248255193657696	0.9627616405840891	14.339428901672363	8.10250951857576	2.112824571394362	1.370513535599984	364.19755913929725	0.6918861438706737	1639.4067237402744	551106.983857219	4.8567283201624766E7	4.876828791088481	0.011022590529292511	1.0340922962512162	8.30863964975727	4.589961206053475	1.5110601199116258	
8	9	0	obj9-val10134	1241.2900130123617	169.2029747704764	26.851984385165906	203.57156213402732	27.74928786235813	10.740793754066363	1210	137	14	1275	202	44	135036.0	0.40975739802719274	595.2837888	55332	585.0929600000611	12760.0	8600.811666666668	0.1666683311460838	0.5503233688200924	0.5442354111732863	0.8164487567373361	0.20009022245951477	0.5848917854743371	0.9874794271903935	12.531742095947266	5.557833216038066	1.0610309912371996	1.055435954279985	605.2253285550192	0.9835738207144193	1542.2214800763895	789420.1571829735	1.3412320980472411E8	3.0129039295075004	0.03656484150393444	4.252119945832717	6.909867705567118	5.133031705190385	0.3195358229556646	
9	10	0	obj10-val10810	1257.8759720316277	80.67980134614128	25.808926354309612	206.29165941318695	13.23148742076717	10.323570541723846	1229	62	13	1288	107	40	77280.0	0.19802018633540372	164.63579520000002	15303	320.81548800000405	6736.0	4384.035400000001	0.08665613092461777	0.44252055889940844	0.3143282198838922	0.6799251791119189	0.09283995583577091	0.4528058049149546	0.9655275875545012	13.77545166015625	6.487005772284149	1.8548847661811145	1.7130518642817136	194.00684828385994	0.8486081633526367	1087.1487314915535	256102.3146262637	1.3781734193119783E7	4.614922618362344	0.010725979908389976	1.3261900108927949	7.878883011978812	4.032015238193778	1.2515074001416282	
