 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val2580	9.53	6.74	37.57	3
2	obj2-val3096	7.74	5.25	4.24	2
3	obj3-val3612	3.65	3.52	11.77	2
4	obj4-val4128	9.93	6.69	19.83	3
5	obj5-val5160	4.62	3.06	79.05	2
6	obj6-val5676	6.62	5.41	67.69	2
7	obj7-val6192	6.85	6.83	35.42	3
8	obj8-val6708	3.28	1.20	77.20	2
9	obj9-val7224	6.74	3.58	24.54	2
10	obj10-val7740	5.23	2.10	15.95	2
11	obj11-val8256	10.29	7.72	75.34	3
12	obj12-val8772	11.81	6.47	51.47	3
13	obj13-val9288	6.92	4.72	56.31	3
14	obj14-val9804	10.31	7.19	49.48	3
15	obj15-val10320	6.41	3.87	66.04	2
16	obj16-val10836	4.33	3.66	21.45	2
17	obj17-val11353	6.24	4.38	50.91	3
18	obj18-val11869	6.40	3.17	18.85	3
19	obj19-val12385	9.77	7.32	37.52	3
20	obj20-val12901	5.64	4.35	63.43	3
21	obj21-val13417	8.88	7.42	84.99	3
22	obj22-val13933	4.98	2.87	78.02	2
23	obj23-val14449	7.13	4.41	79.70	3
24	obj24-val14965	8.10	5.05	45	3
25	obj25-val15481	6.76	3.90	66.16	3
26	obj26-val15997	6.87	4.72	10.30	3
27	obj27-val16513	7.61	3.27	16.93	3
28	obj28-val17029	4.10	3.74	30.38	3
29	obj29-val17545	3.25	1.52	68.20	2
30	obj30-val18061	2.46	0.53	50.19	1
31	obj31-val18577	5.30	3.11	17.53	2
32	obj32-val19093	7.46	4.98	21.60	3
33	obj33-val19609	8.08	5.97	10.92	3
34	obj34-val20125	6.81	5.33	47.56	2
35	obj35-val20641	5.90	3.80	15.38	2
36	obj36-val21157	6.72	3.57	12.01	3
37	obj37-val21673	7.15	6.40	28.22	3
38	obj38-val22189	7.28	3.92	29.48	3
39	obj39-val22705	6.76	4.12	61.29	3
40	obj40-val23221	2.98	2.56	84.81	2
41	obj41-val23737	4.34	2.25	12.53	3
42	obj42-val24253	8.27	4.83	5.39	3
43	obj43-val24769	6.61	3.97	81.87	3
44	obj44-val25285	14.06	3.22	8.31	3
45	obj45-val25801	6.66	4.49	21.57	3
46	obj46-val26317	7.09	4.20	75.96	3
47	obj47-val26833	4.50	2.83	63.43	3
48	obj48-val27349	7.19	4.30	17.35	3
49	obj49-val27865	4.08	3.01	12.80	3
50	obj50-val28381	4.01	3.21	80.54	3
51	obj51-val28897	4.85	2.49	72.12	3
52	obj52-val29413	1.89	0.69	81.25	3
53	obj53-val29929	5.20	3.52	12.34	2
54	obj54-val30445	6.48	6.01	65.66	3
55	obj55-val30961	7.05	4.31	18.85	3
56	obj56-val31477	5.02	3.60	8.37	3
57	obj57-val31993	6.01	2.82	6.71	3
58	obj58-val32509	4.24	3.04	27.35	3
59	obj59-val33026	5.37	4.09	70.14	3
60	obj60-val33542	2.22	1.23	66.80	2
61	obj61-val34058	8.09	3.51	5.39	3
62	obj62-val34574	4.94	1.50	30.65	3
63	obj63-val35090	7.21	4.56	2.29	2
64	obj64-val35606	8.78	3.89	15.26	3
65	obj65-val36122	5.65	2.51	5.04	2
66	obj66-val36638	6.85	4.33	8.65	3
67	obj67-val37154	4.24	3.49	29.25	3
68	obj68-val37670	4.55	2.44	29.98	3
69	obj69-val38186	4.65	2.96	23.50	3
70	obj70-val38702	8.19	3.67	24.06	3
71	obj71-val39218	3.33	2.58	52.70	3
72	obj72-val39734	4.09	3.42	21.45	3
73	obj73-val40250	5.83	1.78	9.46	3
74	obj74-val40766	4.74	3.24	35.75	3
75	obj75-val41282	9.40	2.94	19.06	3
76	obj76-val41798	5.00	3.91	62.74	2
77	obj77-val42314	4.00	3.54	23.75	3
78	obj78-val42830	7.44	4.80	56.93	3
79	obj79-val43346	5.59	2.73	59.30	2
80	obj80-val43862	5.64	3.95	24.10	3
81	obj81-val44378	4.93	3.16	21.80	3
82	obj82-val44894	4.97	2.55	48.81	2
83	obj83-val45410	7.10	4.56	30.17	2
84	obj84-val45926	5.79	2.88	40.24	3
85	obj85-val46442	6.30	3.42	12.38	3
86	obj86-val46958	7.09	2.78	30.53	3
87	obj87-val47474	7.19	4.00	28.93	3
88	obj88-val47990	3.81	2.15	35.54	2
89	obj89-val48506	3.69	2.27	11.31	3
90	obj90-val49022	4.30	4.20	50.19	3
91	obj91-val49538	6.83	2.23	10.30	3
92	obj92-val50054	7.61	3.38	8.30	3
93	obj93-val50570	12.42	5.28	24.44	3
94	obj94-val51086	9.23	5.37	10.30	2
95	obj95-val51602	7.54	2.75	8.65	2
96	obj96-val52118	8.82	4.09	24.44	3
97	obj97-val52634	6.37	3.35	28.39	2
98	obj98-val53150	7.18	5.25	3.58	2
99	obj99-val53666	7.14	3.41	26.57	2
100	obj100-val54182	10.46	4.50	8.46	3
101	obj101-val54699	9.90	3.18	14.24	3
102	obj102-val55215	9.75	4.53	22.29	3
103	obj103-val55731	5.53	2.06	3.27	2
104	obj104-val56247	8.83	5.32	19.57	2
105	obj105-val56763	10.24	5.67	55.01	3
106	obj106-val57279	5.25	4.74	27.30	3
107	obj107-val57795	7.03	5.89	23.20	3
108	obj108-val58311	5.70	3.97	9.93	2
109	obj109-val58827	5.82	3.17	7.50	2
110	obj110-val59343	6.53	2.84	9.46	2
111	obj111-val59859	6.09	4.27	46.01	2
112	obj112-val60375	6.60	5.00	55.30	3
113	obj113-val60891	6.49	3.15	7.59	2
114	obj114-val61407	6.61	3.22	18.43	2
115	obj115-val61923	7.56	4.27	15.35	3
116	obj116-val62439	6.13	1.82	15.95	3
117	obj117-val62955	5.80	4.84	6.63	3
118	obj118-val63471	6.23	3.03	9.21	2
