 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val4307	7.29	4.79	31.53	2
2	obj2-val4615	11.44	6.78	3.87	3
3	obj3-val4923	9.10	4.74	10.06	2
4	obj4-val5230	6.46	3.35	33.69	2
5	obj5-val6461	4.40	2.54	64.29	2
6	obj6-val6769	4.83	1.47	13.13	2
7	obj7-val7077	1.21	0.34	40.60	1
8	obj8-val7384	2.73	1.41	45	1
9	obj9-val7692	6.42	2.86	12.38	2
10	obj10-val8000	6.21	3.17	29.05	2
11	obj11-val8615	5.25	3.34	13.24	2
12	obj12-val8923	7.53	6.10	42.58	2
13	obj13-val9230	6.10	4.38	71.57	2
14	obj14-val9538	8.68	4.01	13.80	2
15	obj15-val9846	5.96	4.42	46.68	2
16	obj16-val10153	NaN	NaN	NaN	3
17	obj17-val10461	7.03	4.81	31.76	2
18	obj18-val11076	4.80	2.35	31.26	2
19	obj19-val11692	8.26	3.92	22.44	3
20	obj20-val11999	12.63	4.04	11.45	3
21	obj21-val12307	6.18	4.83	68.96	2
22	obj22-val12922	5.84	2.89	3.47	2
23	obj23-val13230	2.61	0.97	30.96	1
24	obj24-val13845	5.66	3.16	35.71	2
25	obj25-val14153	4.49	3.30	22.17	2
26	obj26-val14461	7.90	5.38	21.61	3
27	obj27-val15076	8.82	3.66	13.80	2
28	obj28-val15384	11.36	4.15	29.74	3
29	obj29-val15691	4.86	3.01	12.99	2
30	obj30-val15999	7.10	5.69	67.38	3
31	obj31-val16615	5.46	3.16	4.51	2
32	obj32-val16922	7.98	5.01	55.44	3
33	obj33-val17230	5.73	5.11	39.61	2
34	obj34-val17538	9.15	4.35	23.46	3
35	obj35-val17845	5.61	2.20	23.20	2
36	obj36-val18153	8.00	4.95	9.46	3
37	obj37-val18461	4.87	3.24	12.88	3
38	obj38-val18768	3.43	3.05	16.26	2
39	obj39-val19076	6.69	3.40	43.15	3
40	obj40-val19384	6.60	4.65	24.78	3
41	obj41-val19691	7.43	3.91	17.02	3
42	obj42-val19999	3.55	2.73	6.84	2
43	obj43-val20307	6.82	4.18	18.43	2
44	obj44-val20614	4.12	2.37	29.25	2
45	obj45-val20922	4.91	2.21	16.70	2
46	obj46-val21230	1.89	0.63	21.80	1
47	obj47-val21537	4.87	3.42	19.54	3
48	obj48-val21845	6.79	4.23	26.57	2
49	obj49-val22153	3.88	2.39	34.29	2
50	obj50-val22460	6.80	4.38	3.50	3
51	obj51-val22768	8.44	6.94	49.18	3
52	obj52-val23076	6.65	4.30	58.13	2
53	obj53-val23383	4.55	3.59	10.95	2
54	obj54-val23691	5.39	4.51	11.89	3
55	obj55-val23999	6.44	4.83	5.08	3
56	obj56-val24306	2.78	2.17	55.49	1
57	obj57-val24614	7.92	2.08	6.58	2
58	obj58-val24922	5.14	4.95	64.80	2
59	obj59-val25229	6.87	4.76	34.70	3
60	obj60-val25537	7.29	3.65	11.53	2
61	obj61-val25845	4.42	4.16	59.35	3
62	obj62-val26152	4.37	2.34	7.13	2
63	obj63-val26460	7.15	3.61	42.18	2
64	obj64-val26768	2.42	1.28	29.74	1
65	obj65-val27075	4.06	2.70	13.57	2
66	obj66-val27383	4.65	3.93	19.54	3
67	obj67-val27691	8.27	3.96	73.20	3
68	obj68-val27999	5.47	3.60	25.11	3
69	obj69-val28306	8.56	3.20	4.32	3
70	obj70-val28614	6.15	3.18	5.08	3
71	obj71-val28922	5.68	2.49	7.91	2
72	obj72-val29229	5.94	2.69	52.52	2
73	obj73-val29537	5.08	4.02	56.31	2
74	obj74-val29845	5.21	3.98	69.62	3
75	obj75-val30152	8.73	3.56	9.95	3
76	obj76-val30460	7.06	5.33	28.93	3
77	obj77-val30768	7.80	7.60	40.97	3
78	obj78-val31075	9.05	2.40	2.01	2
79	obj79-val31383	1.19	0.89	18.43	1
80	obj80-val31691	4.84	2.58	40.03	3
81	obj81-val31998	6.48	3.47	6.63	3
82	obj82-val32306	7.78	4.05	7.97	3
