 	objlabelArray	ACIMajor	ACIMinor	MajorAngle	Dap
1	obj1-val4854	4.67	3.52	9.78	2
2	obj2-val5340	4.06	3.73	19.65	2
3	obj3-val6311	11.90	5.58	4.13	3
4	obj4-val6796	2.39	1.62	63.43	1
5	obj5-val7767	6.07	4.10	15.02	2
6	obj6-val8253	4.27	2.40	23.75	2
7	obj7-val8738	7.49	5.55	15.46	2
8	obj8-val9223	3.71	3.30	25.64	2
9	obj9-val10194	6.36	4.15	4.97	2
10	obj10-val10680	2.26	2.17	34.70	1
11	obj11-val11165	8.21	5.33	14.74	3
12	obj12-val11651	5.87	4.51	19.75	2
13	obj13-val12136	5.03	3.91	36.25	2
14	obj14-val12622	6.27	2.63	21.80	2
15	obj15-val13107	6.56	2.61	25.97	2
16	obj16-val13592	3.25	1.45	74.05	2
17	obj17-val14078	2.30	1.53	19.65	1
18	obj18-val15049	1.67	1.13	19.98	1
19	obj19-val15534	6.88	3.76	7.77	2
20	obj20-val16020	8.85	4.17	5.01	3
21	obj21-val16505	6.44	3.34	69.44	3
22	obj22-val16991	5.53	3.11	27.26	2
23	obj23-val17476	10.57	3.55	13.63	3
24	obj24-val17961	2.23	2.12	69.44	1
25	obj25-val18447	8.64	5.64	40.50	3
26	obj26-val18932	6.85	3.58	16.19	2
27	obj27-val19418	2.81	1.30	27.90	1
28	obj28-val19903	4.63	3.27	4.76	3
29	obj29-val20874	7.88	3.31	10.01	3
30	obj30-val21360	9.28	5.00	14.70	3
31	obj31-val21845	7.07	2.69	54.90	2
32	obj32-val22330	10.32	5.17	60.64	4
33	obj33-val23301	13.73	5.10	3.99	3
34	obj34-val23787	6.44	3.34	32.47	2
35	obj35-val24272	5.29	3.53	23.43	2
36	obj36-val24758	6.78	3.60	15.95	3
37	obj37-val25243	4.58	2.85	14.04	2
38	obj38-val25729	7.44	5.35	23.96	3
39	obj39-val26214	7.84	4.37	36.63	3
40	obj40-val27185	9.85	5.89	45	4
41	obj41-val28156	4.60	2.69	10.95	3
42	obj42-val28641	2.43	0.57	41.19	1
43	obj43-val29127	9.33	2.65	15.68	2
44	obj44-val29612	8.36	5.97	33.69	4
45	obj45-val30098	7.57	2.63	48.27	2
46	obj46-val30583	7.18	3.77	31.18	2
47	obj47-val31068	2.50	0.93	3.58	2
48	obj48-val31554	7.01	3.35	22.52	3
49	obj49-val32039	7.06	4.30	42.71	3
50	obj50-val32525	6.91	1.07	28.50	2
51	obj51-val33010	14.36	3.79	6.58	4
52	obj52-val33496	7.84	5.20	4.40	3
53	obj53-val33981	6.46	3.13	13.74	3
54	obj54-val34467	3.99	2.36	9.09	2
55	obj55-val35437	4.66	2.25	34.16	3
56	obj56-val35923	6.56	4.37	33.31	2
57	obj57-val36408	8.19	4.55	8.43	3
58	obj58-val36894	6.92	3.62	9.46	3
59	obj59-val37379	7.96	5.41	4.16	3
60	obj60-val37865	7.98	6.62	67.99	3
61	obj61-val38350	6.86	3.59	25.46	3
62	obj62-val38836	7.82	5.41	27.03	3
63	obj63-val39321	5.18	3.19	45	3
64	obj64-val39806	8.31	5.21	31.89	3
65	obj65-val40292	9.59	4.62	25.02	3
66	obj66-val40777	1.36	0.48	18.43	1
67	obj67-val41263	5.01	4.22	12.34	2
68	obj68-val41748	7.68	3.02	46.47	3
69	obj69-val42234	6.63	2.86	9.25	3
70	obj70-val42719	7.62	4.11	9.82	3
71	obj71-val43205	9.01	4.36	12.85	3
72	obj72-val43690	9.25	3.04	10.98	3
73	obj73-val44175	6.48	5.02	22.52	3
74	obj74-val44661	6.42	3.65	17.10	2
75	obj75-val45146	8.59	2.94	5.62	3
76	obj76-val45632	6.38	4.99	4.97	3
77	obj77-val46117	11.28	5.56	16.62	4
78	obj78-val46603	7.24	2.84	83.52	2
79	obj79-val47088	5.50	3.15	40.24	3
80	obj80-val47574	6.68	4.38	11.31	3
81	obj81-val48059	7.69	5.65	32.38	3
82	obj82-val48544	7.12	3.89	45	3
83	obj83-val49030	5.24	3.10	63.43	2
84	obj84-val49515	6.61	1.89	10.18	3
85	obj85-val50001	7.63	3.91	14.32	3
86	obj86-val50486	5.86	2.28	7.50	3
87	obj87-val50972	10.35	3.63	4.97	3
88	obj88-val51457	5.01	2.05	50.83	3
89	obj89-val51943	4.36	2.68	45	3
90	obj90-val52428	10.08	3.07	2.64	3
91	obj91-val53399	6.69	3.53	8.13	3
92	obj92-val53884	4.51	2.61	29.74	3
93	obj93-val54370	7.50	4.61	16.59	3
94	obj94-val54855	4.57	4.03	21.16	3
95	obj95-val55341	9.87	3.93	23.20	3
96	obj96-val55826	6.23	3.86	27.30	3
97	obj97-val56312	7.93	3.38	6.98	3
98	obj98-val56797	4.90	3.75	3.37	3
99	obj99-val57282	9.94	1.58	30.47	3
100	obj100-val57768	6.72	4.27	7.77	3
101	obj101-val58253	5.71	3.65	27.26	3
102	obj102-val58739	5.83	1.88	26.57	3
103	obj103-val59224	9.22	4.25	16.50	3
104	obj104-val59710	7.81	3.17	21.04	3
105	obj105-val60195	1.85	1.06	14.04	1
106	obj106-val60681	1.88	1.09	22.62	2
107	obj107-val61166	6.47	6.04	45	3
108	obj108-val61651	1.27	0.54	29.05	1
109	obj109-val62137	4.09	1.82	26.57	3
110	obj110-val62622	3.36	1.60	59.04	1
111	obj111-val63108	1.85	0.59	14.04	2
112	obj112-val63593	4.27	1.38	84.09	2
113	obj113-val64564	0.84	0.49	59.04	1
114	obj114-val65535	1.56	1.30	33.69	1
