 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val4161	183.35	35.10	1.31	178.27	26.08	2.46
2	obj2-val4681	163.34	22.30	1.80	153.50	24.93	3.12
3	obj3-val5201	190.40	23.45	0.49	186.47	25.58	3.61
4	obj4-val5721	162.20	31.32	1.97	151.37	26.40	2.62
5	obj5-val6241	189.42	30.50	0.98	201.06	34.44	5.25
6	obj6-val6762	198.28	21.65	1.31	200.41	20.01	4.43
7	obj7-val7282	115.29	22.63	2.13	112.50	23.12	4.76
8	obj8-val7802	209.10	18.20	2.13	210.90	14.27	4.76
9	obj9-val8322	182.53	13.94	2.30	195.98	13.28	3.61
10	obj10-val8842	164	22.47	1.31	166.79	19.19	7.38
11	obj11-val9362	178.27	34.93	1.31	183.02	34.44	6.40
12	obj12-val9882	203.85	25.91	2.62	202.21	21.65	5.25
13	obj13-val10402	146.94	25.91	2.79	150.88	37.06	5.74
14	obj14-val10923	137.60	30.67	2.62	145.63	35.75	5.58
15	obj15-val11443	172.69	17.38	1.97	180.73	11.97	6.23
16	obj16-val11963	184.34	36.90	0.98	188.27	36.57	5.74
17	obj17-val12483	173.68	31.65	0.49	172.20	35.26	6.40
18	obj18-val13003	197.95	24.93	1.31	196.96	26.57	8.04
19	obj19-val13523	116.11	27.72	3.12	111.36	33.29	6.07
20	obj20-val14043	176.30	31.16	1.31	179.25	31.82	6.89
21	obj21-val14563	164.82	18.53	1.97	167.44	16.56	7.22
22	obj22-val15083	186.63	22.80	0.16	188.44	24.44	7.54
23	obj23-val15604	162.85	25.09	2.30	168.26	26.90	8.20
24	obj24-val16124	203.03	28.21	2.30	208.94	33.13	6.23
25	obj25-val16644	190.73	34.77	1.80	198.77	35.42	6.07
26	obj26-val17164	161.70	34.93	2.30	169.08	38.54	5.25
27	obj27-val17684	179.74	21.16	1.97	188.11	10.99	6.07
28	obj28-val18204	124.48	20.50	3.77	134.15	11.81	7.05
29	obj29-val18724	173.02	19.68	0.98	170.56	21.48	8.04
30	obj30-val19244	169.74	27.22	1.31	172.86	25.58	8.20
31	obj31-val19765	193.85	25.91	0.98	199.92	31.65	7.05
32	obj32-val20285	188.60	31.49	1.15	187.62	31.16	7.22
33	obj33-val20805	207.62	27.06	2.46	218.94	29.52	6.89
34	obj34-val21325	181.06	27.06	1.97	186.30	29.03	7.54
35	obj35-val21845	128.58	27.88	3.28	137.43	33.95	6.89
36	obj36-val22365	197.62	14.76	2.30	206.48	14.43	7.22
37	obj37-val22885	159.41	18.86	2.13	163.34	17.55	7.71
38	obj38-val23405	181.22	20.17	1.48	187.94	24.11	7.87
39	obj39-val23925	170.89	22.96	1.80	167.77	23.45	8.20
40	obj40-val24446	206.15	23.45	2.30	211.23	22.63	8.04
41	obj41-val24966	168.92	29.03	1.48	172.04	31.00	7.54
42	obj42-val25486	151.21	27.06	2.46	152.36	33.78	7.38
43	obj43-val26006	189.09	17.71	2.13	194.01	14.92	7.22
44	obj44-val26526	188.11	18.04	1.80	188.76	19.35	8.04
45	obj45-val27046	201.23	27.39	1.97	198.11	21.65	7.87
46	obj46-val27566	191.55	27.88	1.80	187.78	25.91	7.38
47	obj47-val28086	177.45	17.88	1.48	183.02	18.53	7.38
48	obj48-val28607	134.15	21.81	2.79	145.30	16.24	7.87
49	obj49-val29127	135.46	23.12	3.28	144.65	19.68	7.54
50	obj50-val29647	159.74	27.39	1.80	163.18	28.54	8.36
51	obj51-val30167	153.67	15.58	3.28	164.49	13.61	6.40
52	obj52-val30687	173.02	17.22	2.46	175.32	16.40	7.54
53	obj53-val31207	120.54	20.17	3.61	128.41	12.46	7.05
54	obj54-val31727	175.97	20.83	2.30	174.66	22.63	8.04
55	obj55-val32247	213.20	18.37	4.26	221.56	24.44	7.71
56	obj56-val32768	192.70	23.94	2.30	193.19	25.42	8.20
57	obj57-val33288	201.56	27.55	1.97	212.87	25.75	7.87
58	obj58-val33808	114.96	26.40	3.61	120.05	32.14	7.05
59	obj59-val34328	123.82	26.24	3.94	128.58	35.26	6.07
60	obj60-val34848	135.30	13.45	3.61	143.17	12.46	7.38
61	obj61-val35368	151.54	20.50	2.79	157.44	15.25	7.22
