 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val4398	31.49	24.93	0.16	35.10	28.04	3.77
2	obj2-val4838	23.45	27.55	0.82	19.02	26.57	3.61
3	obj3-val5718	134.81	22.63	2.13	130.87	15.09	3.28
4	obj4-val6158	153.34	0.98	1.15	157.28	9.35	1.48
5	obj5-val6597	22.80	28.21	0.82	31.16	28.86	3.61
6	obj6-val7037	2.95	30.18	0.66	8.20	28.70	4.26
7	obj7-val7477	51.33	24.11	1.97	56.25	25.09	3.61
8	obj8-val7917	127.26	23.45	0.49	124.97	22.47	5.90
9	obj9-val8357	33.46	31.16	2.46	45.92	30.18	3.44
10	obj10-val8797	22.14	31.49	1.97	33.46	30.34	4.59
11	obj11-val9236	63.14	20.66	2.95	71.01	22.14	4.43
12	obj12-val9676	14.43	28.86	1.31	24.11	30.83	4.26
13	obj13-val10116	15.42	30.18	1.31	7.54	30.67	4.10
14	obj14-val10556	44.12	23.94	1.64	50.84	29.68	3.94
15	obj15-val10996	181.71	25.09	1.80	180.07	26.08	7.05
16	obj16-val11436	117.59	15.74	1.64	127.76	14.10	6.07
17	obj17-val11875	178.43	18.04	3.61	172.20	23.78	5.41
18	obj18-val12315	147.93	24.11	2.13	150.88	16.89	8.04
19	obj19-val12755	84.13	29.19	2.62	86.10	28.86	5.74
20	obj20-val13195	159.57	14.27	2.79	163.51	12.14	6.23
21	obj21-val13635	114.47	21.16	0.98	121.20	13.94	5.41
22	obj22-val14075	71.18	21.81	3.94	83.80	18.53	4.26
23	obj23-val14514	105.62	33.46	4.43	116.77	34.77	4.76
24	obj24-val14954	128.08	13.61	2.95	129.89	14.10	5.90
25	obj25-val15394	136.45	15.58	3.12	139.07	14.43	6.23
26	obj26-val15834	127.59	17.88	1.48	133.66	16.40	6.56
27	obj27-val16274	95.61	18.04	3.28	87.90	17.22	4.26
28	obj28-val16714	71.50	21.16	3.61	64.45	20.50	4.26
29	obj29-val17153	80.36	27.22	2.62	85.12	29.52	6.40
30	obj30-val18033	106.27	16.56	1.31	112.67	15.42	5.58
31	obj31-val18473	102.50	21.65	1.64	96.43	18.20	5.41
32	obj32-val18913	189.58	24.93	3.94	189.42	25.91	6.56
33	obj33-val19353	142.35	15.09	3.12	152.52	11.48	6.40
34	obj34-val19792	92.33	19.35	3.12	82.33	22.14	4.43
35	obj35-val20232	107.75	24.93	2.46	97.09	23.12	6.07
36	obj36-val20672	100.86	25.91	2.46	94.30	24.44	6.40
37	obj37-val21112	97.91	25.91	2.62	85.44	27.72	5.74
38	obj38-val21552	113.16	23.12	1.97	102.66	17.38	5.58
39	obj39-val21992	190.08	28.70	3.77	186.30	28.70	7.38
40	obj40-val22431	163.02	11.48	4.10	166.79	12.79	6.72
41	obj41-val22871	181.71	14.10	4.10	189.26	11.48	6.56
42	obj42-val23311	114.96	21.65	0.82	115.29	20.83	7.38
43	obj43-val23751	65.93	27.72	3.77	82.49	26.40	5.41
44	obj44-val24191	61.66	29.85	3.77	76.92	31.49	5.58
45	obj45-val24631	166.95	15.42	3.77	173.68	12.79	7.05
46	obj46-val25070	148.42	18.20	2.13	153.83	15.25	7.71
47	obj47-val25510	118.74	22.47	2.13	127.10	16.89	7.22
48	obj48-val25950	154.82	23.29	2.30	154.65	17.22	8.20
49	obj49-val26390	132.18	26.57	2.62	135.79	25.26	8.53
50	obj50-val26830	111.52	28.21	2.30	98.40	25.75	6.40
51	obj51-val27270	154.16	26.90	2.95	143.50	29.36	8.86
52	obj52-val27709	192.54	28.37	4.59	190.57	33.13	7.05
53	obj53-val28149	91.84	29.52	3.28	93.81	31.00	6.40
54	obj54-val28589	135.79	22.14	2.13	140.88	16.73	7.71
55	obj55-val29029	144.48	22.96	2.13	147.44	18.37	8.20
56	obj56-val29469	143.99	23.45	2.30	141.20	24.76	7.71
57	obj57-val29909	97.09	28.70	2.95	102.34	31.49	6.56
58	obj58-val30348	91.68	30.34	3.44	88.72	30.67	6.23
59	obj59-val30788	138.74	26.57	2.46	145.47	24.76	8.86
60	obj60-val31228	110.37	28.70	2.13	104.63	30.67	6.89
61	obj61-val31668	156.62	12.63	4.59	156.95	13.45	7.22
62	obj62-val32108	142.68	24.11	2.62	147.76	15.42	7.54
63	obj63-val32548	206.64	19.52	4.92	211.89	20.66	7.05
64	obj64-val32987	120.54	30.83	2.62	112.50	31.32	6.89
65	obj65-val33427	113.32	26.24	2.46	103.16	22.30	6.23
66	obj66-val33867	125.62	28.21	2.79	134.97	25.58	8.53
67	obj67-val34307	111.52	28.54	2.30	117.10	27.06	7.71
68	obj68-val34747	118.57	27.88	2.62	123.33	30.34	8.04
69	obj69-val35187	123.16	29.36	2.30	130.38	26.90	8.36
70	obj70-val35626	166.13	15.42	4.26	154.98	15.91	7.54
71	obj71-val36066	211.40	18.37	5.08	209.59	17.06	7.87
72	obj72-val36506	187.12	23.45	3.61	193.52	14.10	8.04
73	obj73-val36946	163.18	22.30	3.28	165.97	16.24	8.53
74	obj74-val37386	118.90	23.94	2.13	124.80	20.83	7.87
75	obj75-val37826	117.42	25.58	2.30	123.98	23.78	8.36
76	obj76-val38265	128.58	29.52	2.13	140.22	27.39	8.36
77	obj77-val38705	127.43	31.32	2.46	133.33	32.80	8.20
78	obj78-val39145	121.69	35.10	3.94	129.72	36.74	6.89
79	obj79-val39585	138.25	35.10	4.10	138.58	39.03	8.04
80	obj80-val40025	171.05	22.63	3.77	176.96	13.45	7.38
81	obj81-val40465	158.59	22.63	2.95	158.10	20.83	8.69
82	obj82-val40904	136.61	30.67	2.62	140.71	31.65	8.53
83	obj83-val41784	152.85	25.58	2.95	151.37	18.86	9.18
