 	objlabelArray	fx0array	fy0array	fz0array	fx1array	fy1array	fz1array
1	obj1-val3901	212.54	23.45	0	214.02	29.85	4.76
2	obj2-val4681	194.83	20.83	0.16	192.37	14.43	4.10
3	obj3-val6241	178.76	31.32	0.33	179.25	33.46	3.77
4	obj4-val7022	178.60	24.27	0.16	179.25	26.08	5.25
5	obj5-val7802	217.30	19.52	0.98	214.68	10.17	4.10
6	obj6-val8582	151.86	27.22	1.80	162.20	31.98	3.94
7	obj7-val9362	207.79	25.58	0	204.51	30.67	5.74
8	obj8-val10142	194.18	30.18	0.98	203.03	32.31	3.77
9	obj9-val10923	172.20	19.19	0.66	169.58	18.70	6.40
10	obj10-val11703	187.45	18.70	0.82	186.96	16.56	4.92
11	obj11-val12483	202.38	27.06	0	199.42	26.73	6.23
12	obj12-val13263	195.32	13.78	1.31	194.67	13.12	5.08
13	obj13-val14043	193.52	21.81	0.82	199.92	16.07	6.23
14	obj14-val14823	218.45	27.39	0.49	223.04	29.19	5.08
15	obj15-val15604	185.98	14.43	1.64	192.70	11.48	4.92
16	obj16-val16384	201.23	20.99	0.49	209.59	19.52	6.56
17	obj17-val17164	197.78	19.52	0.16	205.49	10.33	4.92
18	obj18-val17944	204.84	25.91	0.33	207.13	21.81	6.40
19	obj19-val18724	176.79	20.01	1.80	185.81	16.40	6.07
20	obj20-val19504	222.71	21.81	1.48	231.24	18.53	6.07
21	obj21-val20285	218.45	14.92	2.30	216.48	14.76	5.74
22	obj22-val21065	218.45	16.73	0.98	221.73	18.53	6.07
23	obj23-val21845	216.97	25.91	2.46	205.98	24.44	6.40
24	obj24-val22625	160.56	23.94	1.64	165.97	27.88	5.58
25	obj25-val23405	164.98	24.27	2.46	176.79	30.18	5.25
26	obj26-val24186	184.83	24.60	1.97	191.06	31.32	5.58
27	obj27-val24966	159.41	12.30	3.94	147.27	13.12	4.59
28	obj28-val25746	168.92	13.94	2.13	175.81	15.25	5.58
29	obj29-val26526	196.31	26.08	1.31	197.62	18.53	6.72
30	obj30-val27306	217.46	25.75	1.97	227.14	26.40	5.58
31	obj31-val28086	179.58	14.27	2.13	185.16	10.82	5.25
32	obj32-val28867	221.73	12.46	2.46	227.47	16.40	5.58
33	obj33-val29647	218.61	14.27	2.30	217.30	14.60	5.74
34	obj34-val30427	136.78	18.70	1.97	141.53	15.91	6.56
35	obj35-val31207	214.35	18.70	1.48	207.62	14.27	6.07
36	obj36-val31987	208.12	13.28	0.98	215.66	13.94	5.90
37	obj37-val32768	198.77	22.14	1.15	205.49	15.25	6.40
38	obj38-val33548	147.44	20.83	2.13	154.00	17.22	6.40
39	obj39-val34328	139.89	30.50	3.28	153.67	32.14	4.59
40	obj40-val35108	138.74	12.63	2.79	147.76	11.48	5.25
41	obj41-val35888	144.81	21.65	2.46	151.37	15.91	6.23
42	obj42-val36668	164.33	22.14	1.31	161.05	19.52	6.72
43	obj43-val37449	174.33	23.29	1.97	178.10	19.35	6.56
44	obj44-val38229	193.19	25.91	1.15	198.60	30.18	5.90
45	obj45-val39009	148.58	27.88	2.30	162.69	30.83	5.08
46	obj46-val39789	193.36	28.37	1.31	201.88	32.80	5.25
47	obj47-val40569	138.42	12.46	2.79	131.53	13.94	5.41
48	obj48-val41349	152.68	16.56	2.46	168.76	15.25	5.90
49	obj49-val42130	152.36	22.63	2.30	158.75	18.86	6.56
50	obj50-val42910	218.28	21.16	0.98	210.58	20.01	6.40
51	obj51-val43690	132.18	25.75	2.46	121.85	21.81	6.23
52	obj52-val44470	142.19	27.55	3.28	128.41	27.72	6.23
53	obj53-val45250	228.12	22.80	1.97	240.75	21.65	4.76
54	obj54-val46031	143.99	22.14	2.30	137.76	22.30	6.89
55	obj55-val46811	163.02	23.62	3.12	173.84	27.06	5.90
56	obj56-val47591	184.50	24.27	2.13	187.12	24.76	6.72
57	obj57-val48371	144.81	23.45	1.97	156.62	25.42	5.90
58	obj58-val49151	136.12	32.64	4.43	123	30.01	5.25
59	obj59-val49931	131.36	15.09	4.76	116.60	17.71	5.25
60	obj60-val50712	180.56	20.99	1.97	184.50	20.17	6.72
61	obj61-val51492	215.17	28.70	4.26	229.11	20.83	5.74
62	obj62-val52272	152.52	22.96	2.62	164.98	24.76	5.90
63	obj63-val53052	134.32	17.38	2.79	122.02	20.34	6.56
64	obj64-val53832	198.77	22.63	1.48	205.66	21.65	6.72
65	obj65-val54613	185.48	21.81	2.46	192.21	16.40	6.07
66	obj66-val55393	226.48	23.29	2.62	237.14	25.75	4.92
67	obj67-val56173	192.21	24.60	1.97	191.72	20.01	6.89
68	obj68-val56953	144.16	23.78	2.79	128.74	25.26	6.56
69	obj69-val57733	137.60	20.99	2.46	126.12	20.83	6.72
70	obj70-val58513	65.60	21.81	5.08	55.10	23.12	5.58
71	obj71-val59294	53.46	17.06	5.08	43.13	15.58	6.07
72	obj72-val60074	36.57	16.24	5.25	24.60	16.73	5.90
73	obj73-val60854	127.10	25.75	2.95	118.57	26.40	6.40
74	obj74-val61634	97.74	17.38	5.08	90.20	23.12	5.41
75	obj75-val62414	103.98	21.65	5.74	110.86	18.37	6.07
76	obj76-val63194	144.65	23.12	2.13	147.44	19.35	6.89
77	obj77-val63975	114.80	25.26	5.08	99.88	25.58	5.58
78	obj78-val64755	121.36	21.98	3.61	113.16	22.14	6.89
